date_detected,timestamp,title,slug,outcome,type,side,price,size,usdcSize,asset,transactionHash
2026-05-26 15:08:36,1779800830,"Will the price of Bitcoin be between $78,000 and $80,000 on May 26?",will-the-price-of-bitcoin-be-between-78000-80000-on-may-26-2026,No,TRADE,BUY,0.9399999953382925,90.095743,85.045688,89825981471271232929499222091693176490611251677486306330362067390787902252899,0x2b6a1bdc66486f65b37b91d4c0087e925ecd80b52ba707812c8d433bbf4ee496
2026-05-26 15:08:36,1779800760,Bitcoin Up or Down on May 26?,bitcoin-up-or-down-on-may-26-2026,Down,TRADE,BUY,0.83,2100.74,1764.3632,101413462990998546049607956368994022024443266822606241226320545973718102670483,0x8a671b0e4679b6f4126b2a8fdcb2a8ec177388239e5dd60a57eaac76612383cf
2026-05-26 15:08:36,1779800753,"Will the price of Bitcoin be between $78,000 and $80,000 on May 26?",will-the-price-of-bitcoin-be-between-78000-80000-on-may-26-2026,No,TRADE,BUY,0.937,70,65.87925,89825981471271232929499222091693176490611251677486306330362067390787902252899,0x421a3ab05951f2863338f75f28b4c8dcfab949cbeac9e339a2f170ff0b293330
2026-05-26 15:08:36,1779800727,"Will the price of Bitcoin be between $78,000 and $80,000 on May 26?",will-the-price-of-bitcoin-be-between-78000-80000-on-may-26-2026,No,TRADE,BUY,0.9340048894644402,70.22446,65.892989,89825981471271232929499222091693176490611251677486306330362067390787902252899,0x4f44f090012f9992e8087b7e8f2c2f7fcfdf7a6482e1e67b07ac7159e20c818e
2026-05-26 15:08:36,1779800720,Bitcoin Up or Down on May 26?,bitcoin-up-or-down-on-may-26-2026,Down,TRADE,BUY,0.82,521,432.60297,101413462990998546049607956368994022024443266822606241226320545973718102670483,0x4038922d35874e1096738920dbdf117ee096c01db811460cf52c0357064e96bc
2026-05-26 15:08:36,1779800644,"Will the price of Bitcoin be between $76,000 and $78,000 on May 26?",will-the-price-of-bitcoin-be-between-76000-78000-on-may-26-2026,Yes,TRADE,BUY,0.89,216,193.72024000000002,27816498921535806143796071076973933680747500966093816317112273250888220177007,0x8df7d69ef559065d2be56f226b00124acb260d48308a09a0ecab9d3ffe2c7e37
2026-05-26 15:08:36,1779800622,Bitcoin Up or Down on May 26?,bitcoin-up-or-down-on-may-26-2026,Down,TRADE,BUY,0.82,70.67,58.679559999999995,101413462990998546049607956368994022024443266822606241226320545973718102670483,0xb9b2e98482b2e8dd0c587b6138d81b165607e574c8fba6ac35190ab41886109c
2026-05-26 15:08:36,1779800618,"Will the price of Bitcoin be between $78,000 and $80,000 on May 26?",will-the-price-of-bitcoin-be-between-78000-80000-on-may-26-2026,No,TRADE,BUY,0.932,70,65.55054,89825981471271232929499222091693176490611251677486306330362067390787902252899,0x28105b6571636fc8bd7425c01d712c8f0f96f70c790b48ee91423f756c846fdb
2026-05-26 15:08:36,1779800599,"Will the price of Bitcoin be between $78,000 and $80,000 on May 26?",will-the-price-of-bitcoin-be-between-78000-80000-on-may-26-2026,No,TRADE,BUY,0.931,7.68,7.18461,89825981471271232929499222091693176490611251677486306330362067390787902252899,0x08b162455f10373522d7549cc0588c9da5ddc86eb5abc1cd105f6e5f6f6d39ea
2026-05-26 15:08:37,1779800599,"Will the price of Bitcoin be between $78,000 and $80,000 on May 26?",will-the-price-of-bitcoin-be-between-78000-80000-on-may-26-2026,No,TRADE,BUY,0.931,50,46.774829999999994,89825981471271232929499222091693176490611251677486306330362067390787902252899,0x7f0fce12e75e6329dae3390c0c05af7184e3bff743eb35455ddb2f1dcdaf5aa5
